building_age,BuildingType,floor_surface,has_third_use,Neighborhood,NumberofBuildings,NumberofFloors,PrimaryPropertyType,ratio_build,SecondLargestPropertyUseTypeGFA,SiteEnergyUse(kBtu),sum_energy_use,sum_types_use,ThirdLargestPropertyUseTypeGFA,total_ty_gfa,use_steam
18,NonResidential,24784.0,1,LAKE UNION,1.0,5,Hotel,0.7579083279535184,30000.0,9373179.0,2,3,0.0,153920.0,0
116,Nonresidential COS,50000.0,0,LAKE UNION,1.0,1,Other,1.0,0.0,7548807.0,2,1,0.0,43000.0,0
90,Nonresidential COS,25146.0,1,MAGNOLIA / QUEEN ANNE,1.0,2,Warehouse,1.0,5000.0,430473.6875,1,3,4730.0,52075.0,0
18,NonResidential,29665.14285714286,0,MAGNOLIA / QUEEN ANNE,1.0,7,Hotel,0.7383124012790384,0.0,11171988.0,2,1,0.0,141591.0,0
17,SPS-District K-12,33617.5,0,BALLARD,1.0,2,K-12 School,1.0,0.0,2284133.75,2,1,0.0,67235.0,0
59,Nonresidential COS,45565.0,1,NORTHWEST,1.0,2,Small- and Mid-Sized Office,1.0,32881.0,9472358.0,2,3,11850.0,102699.0,0
25,SPS-District K-12,19372.666666666668,0,SOUTHWEST,1.0,3,K-12 School,1.0,0.0,1407277.25,2,1,0.0,59014.0,0
48,NonResidential,16223.25,0,NORTHWEST,1.0,4,Hotel,1.0,0.0,6197825.0,2,1,0.0,64893.0,0
27,SPS-District K-12,26396.0,0,NORTH,1.0,2,K-12 School,1.0,0.0,0.0,0,1,0.0,55480.0,0
91,SPS-District K-12,70762.0,0,GREATER DUWAMISH,1.0,1,K-12 School,1.0,0.0,3606416.0,2,1,0.0,70762.0,0
116,NonResidential,14852.666666666666,1,DOWNTOWN,1.0,3,Small- and Mid-Sized Office,1.0,7672.0,1677002.25,2,3,2470.0,44558.0,0
17,NonResidential,264326.6666666667,0,GREATER DUWAMISH,1.0,6,Other,0.7933869706676082,0.0,59757440.0,2,2,0.0,1585960.0,0
92,Nonresidential COS,89580.5,1,GREATER DUWAMISH,1.0,2,Distribution Center,1.0,37321.0,9436408.0,2,3,25543.0,180340.0,0
51,Nonresidential COS,29320.0,1,GREATER DUWAMISH,1.0,2,Warehouse,1.0,16735.0,3928695.25,1,3,11533.0,69099.0,0
17,NonResidential,390709.0,0,GREATER DUWAMISH,1.0,3,Other,1.0,0.0,58761304.0,2,1,0.0,1172127.0,0
11,NonResidential,18716.555555555555,1,GREATER DUWAMISH,1.0,9,Hotel,0.9135227873124804,20600.0,12726789.0,2,3,9216.0,164822.0,0
100,NonResidential,19900.0,0,GREATER DUWAMISH,0.0,4,Warehouse,1.0,0.0,2411402.25,1,1,0.0,79600.0,0
19,SPS-District K-12,60266.5,0,LAKE UNION,1.0,4,K-12 School,1.0,0.0,7791957.0,2,1,0.0,241066.0,0
36,Campus,167184.0,1,GREATER DUWAMISH,14.0,2,Large Office,0.9046738922384917,72963.0,53466684.0,2,3,16766.0,330713.0,0
8,NonResidential,69974.66666666667,1,NORTH,1.0,6,Other,0.20183256797698215,65000.0,9134963.0,2,3,13567.0,413676.0,0
14,NonResidential,27696.25,1,MAGNOLIA / QUEEN ANNE,1.0,4,Mixed Use Property,1.0,48520.0,10557910.0,2,3,29839.0,136922.0,0
17,NonResidential,0.0,1,DOWNTOWN,1.0,0,Hotel,1.0,438756.0,65047284.0,2,3,49700.0,983992.0,0
26,NonResidential,119503.8,0,CENTRAL,6.0,5,Hospital,1.0,48607.0,143423024.0,2,2,0.0,650222.0,0
17,SPS-District K-12,71714.0,0,DELRIDGE,1.0,1,K-12 School,1.0,0.0,2371358.0,2,1,0.0,71714.0,0
25,NonResidential,25132.333333333332,0,LAKE UNION,1.0,3,Warehouse,0.8917596190829874,8161.0,549181.375,2,2,0.0,75397.0,0
16,NonResidential,144836.375,0,EAST,9.0,8,Hospital,1.0,387651.0,293090784.0,3,2,0.0,1737833.0,1
17,NonResidential,20559.2,1,DOWNTOWN,1.0,5,Senior Care Community,0.8773201291879061,40091.0,10105379.0,2,3,3231.0,98581.0,0
14,SPS-District K-12,104490.5,0,SOUTHWEST,1.0,2,K-12 School,1.0,0.0,8164853.0,2,1,0.0,208981.0,0
88,NonResidential,27826.5,0,NORTHEAST,1.0,2,K-12 School,1.0,0.0,1377627.0,2,1,0.0,55500.0,0
85,NonResidential,6678.75,0,NORTHEAST,1.0,16,Hotel,1.0,0.0,11935719.0,2,1,0.0,106860.0,0
44,NonResidential,10151.8,0,NORTH,1.0,5,Small- and Mid-Sized Office,1.0,3680.0,3147042.0,2,2,0.0,50759.0,0
64,NonResidential,28386.0,0,NORTHEAST,1.0,2,Worship Facility,1.0,0.0,2439484.75,2,1,0.0,56772.0,0
64,NonResidential,34333.333333333336,0,NORTHEAST,1.0,3,Worship Facility,1.0,0.0,4854429.5,2,1,0.0,103000.0,0
10,SPS-District K-12,89765.66666666667,0,NORTHEAST,1.0,3,K-12 School,1.0,0.0,10498344.0,2,1,0.0,269297.0,0
15,SPS-District K-12,25058.0,0,NORTHEAST,1.0,3,K-12 School,1.0,0.0,2733846.0,2,1,0.0,75174.0,0
13,SPS-District K-12,25071.333333333332,0,MAGNOLIA / QUEEN ANNE,1.0,3,K-12 School,1.0,0.0,2334260.0,2,1,0.0,75214.0,0
11,SPS-District K-12,44972.666666666664,0,SOUTHWEST,1.0,3,K-12 School,1.0,0.0,3822102.5,2,1,0.0,134918.0,0
25,SPS-District K-12,32207.0,0,CENTRAL,1.0,2,K-12 School,1.0,0.0,2295176.5,1,1,0.0,65310.0,0
89,SPS-District K-12,30812.333333333332,0,NORTHWEST,1.0,3,K-12 School,1.0,0.0,4626443.0,2,1,0.0,92437.0,0
102,NonResidential,18395.14285714286,1,DOWNTOWN,1.0,7,Other,1.0,12876.0,6057410.0,2,3,6136.0,128766.0,0
103,NonResidential,11952.444444444445,1,DOWNTOWN,1.0,9,Residence Hall,1.0,27143.0,5572503.0,2,3,10568.0,101645.0,1
61,NonResidential,15392.0,0,DOWNTOWN,1.0,15,Other,1.0,0.0,62197176.0,1,1,0.0,203000.0,0
9,SPS-District K-12,68320.33333333333,0,GREATER DUWAMISH,1.0,3,K-12 School,1.0,0.0,8190809.0,2,1,0.0,204961.0,0
43,NonResidential,76086.0,0,MAGNOLIA / QUEEN ANNE,1.0,1,Other,1.0,0.0,3267564.0,2,1,0.0,77810.0,0
89,NonResidential,38000.0,0,MAGNOLIA / QUEEN ANNE,1.0,5,Medical Office,0.7947368421052632,9805.0,28731502.0,2,2,0.0,156546.0,0
55,NonResidential,30577.25,0,DOWNTOWN,1.0,4,Hotel,1.0,0.0,25453690.0,2,1,0.0,122309.0,0
21,Campus,71825.33333333333,0,DOWNTOWN,4.0,3,Other,1.0,0.0,24017770.0,2,1,0.0,217088.0,0
13,NonResidential,31784.125,0,DOWNTOWN,1.0,8,Hotel,0.8474081007421158,0.0,26659244.0,2,1,0.0,277000.0,0
36,Nonresidential COS,34700.0,0,DOWNTOWN,1.0,2,Other,1.0,0.0,14833476.0,2,1,0.0,69400.0,0
116,NonResidential,62900.0,1,DOWNTOWN,1.0,1,Mixed Use Property,1.0,29793.0,10394330.0,2,3,3384.300049,65671.300049,0
102,NonResidential,14125.0,0,DOWNTOWN,1.0,4,Small- and Mid-Sized Office,1.0,7000.0,1380293.625,2,2,0.0,40000.0,1
8,NonResidential,50876.0,0,GREATER DUWAMISH,1.0,4,Warehouse,1.0,44132.0,3785282.5,1,2,0.0,203504.0,0
48,NonResidential,33578.0,0,DOWNTOWN,0.0,3,Large Office,0.7346377588500407,0.0,9788717.0,1,1,0.0,100734.0,0
